Fee (USD), Date, Transaction hash
136243.37, 2016-04-26 14:15:22, cc455ae816e6cdafdb58d54e35d4f46d860047458eacf1c7405dc634631c570d
56493.50, 2017-01-04 20:01:28, d38bd67153d774a7dab80a055cb52571aa85f6cac8f35f936c4349ca308e6380
39502.15, 2017-05-31 14:28:51, cb95ab3aef378c14bc59d0db682d96202b981c1f8fad7d66e23e0be06f2a00c4
25095.71, 2017-05-31 14:28:51, 8e12a1aba87e4657f5fabec1121ed57f706805ad6d4ffe88c6fce78596bd9b75
23518.00, 2013-08-28 10:45:17, 4ed20e0768124bc67dc684d57941be1482ccdaa45dadb64be12afba8c8554537
23314.08, 2017-06-07 12:30:48, 96dd5ca133ab863e2ea2ab26300c5444cc9ac2bb874e3309ebb3c10550c23c62
21548.83, 2017-06-07 12:30:48, 1ae38066e96fc61c1011e8ee48e36b558417fdc999d6cf1bed74eb434e5a4b9f
20666.20, 2017-06-07 12:30:48, 7900ac64c4d3544c38256bd0f0b085a42568d17eb10e15dc66557911b40d82bf
20519.09, 2017-06-07 12:30:48, d838bc42e960399bc054d25f6e7fac0fc155b746fb753046e84a12d22ff4d591
20077.78, 2017-06-07 12:30:48, 5d96ddf8466f0827ba746d1016da5522163f32777ee448e0a235631508a892ee
19400.73, 2015-04-25 17:36:05, 860e4e6bc2b846f00a1660dcb49d84a00dcd7b87ba23100e836dfb682249a807
19195.16, 2017-06-07 12:30:48, 82104ab021edd49e7d9ab36150def6a421b46aba4daded0155e7854f4377859d
18459.63, 2017-06-07 12:30:48, f490c9b2a9ee34b7341deacf7d5c30441f954e52881421f54132955790180063
16988.59, 2017-06-07 12:30:48, 6b4de69f844bef5c6511ae26d5b13c5f1bbd6f4a5d33d60d225d2eab764b7813
16988.59, 2017-06-07 12:30:48, f9c019ea91ee27fd237f83452608baed18f85f00a42fb56cd3704f63f0fead8d
16219.77, 2017-06-07 12:30:48, 58310868d60da6370314ba40a0aea4fb623a0db0dae2a9fec40fdbe7deaf2b1e
13991.01, 2013-12-07 19:01:24, a2d1e19331f4ea274079c94382560bbb4f32165ed647a33adad651a604e7caa2
13664.61, 2014-08-17 16:53:35, 008cad24609212395fa8c630bfd1653aec073177bb4a118a18c1f7509081d1cb
12722.56, 2017-06-07 12:30:48, 269807fdc7df6f5be58d3036992630f79be6dadcff4715a53742e7bfb1e831a0
12368.02, 2014-01-06 06:09:43, bafd708d6c0cbfb2a16eb46442e7918ae9ce96cedf17e05f913a824ce6dfa265
